U_id,Id,Address,Name,Online_Order,Book_Table,Rating,Contact,Location,Restaurant_Type,Cuisines,Approx_Cost(For 2 Persons),Approx_Cost(For 4 Persons),Approx_Cost(For 6 Persons),Approx_Cost(For 8 Persons),Approx_Cost(For 10 Persons),Listed(Type),Listed(City),Category_Type
1,1,"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75350",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Seafood,3500,7000,10000,14000,18000,"
Dinner",Karachi,Friends
2,2,"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75350",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Continental,3500,7000,10000,14000,18000,Lunch,Karachi,Friends
3,3,"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75350",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",BBQ,3500,7000,10000,14000,18000,Hi-tea,Karachi,Family
4,1,"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75350",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Desi,3500,7000,10000,14000,18000,Dinner,Karachi,Couple
5,1,"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75350",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Dessert,3500,7000,10000,14000,18000,Dinner,Karachi,Friends
6,2,"Karsaz Road? Near Maritime Museum Park, Karsaz Faisal Cantonment, Karachi, Karachi City, Sindh",Rangoli Restaurant,Yes,Yes,4.1,021-99245287,Karsaz Road,"Buffet,
hi-tea",BBQ,4000,8000,12000,16000,20000,"
Hi-tea",Karachi,Friends
7,2,"Karsaz Road? Near Maritime Museum Park, Karsaz Faisal Cantonment, Karachi, Karachi City, Sindh",Rangoli Restaurant,Yes,Yes,4.1,021-99245287,Karsaz Road,"Buffet,
hi-tea",Desi,4000,8000,12000,16000,20000,"
Brunch",Karachi,Couple
8,2,"Karsaz Road? Near Maritime Museum Park, Karsaz Faisal Cantonment, Karachi, Karachi City, Sindh",Rangoli Restaurant,Yes,Yes,4.1,021-99245287,Karsaz Road,"Buffet,
hi-tea",Continental,4000,8000,12000,16000,20000,"
Dinner",Karachi,Family
9,2,"Karsaz Road? Near Maritime Museum Park, Karsaz Faisal Cantonment, Karachi, Karachi City, Sindh",Rangoli Restaurant,Yes,Yes,4.1,021-99245287,Karsaz Road,"Buffet,
hi-tea",Chinese,4000,8000,12000,16000,20000,"
Hi-tea
",Karachi,Couple
10,2,"Karsaz Road? Near Maritime Museum Park, Karsaz Faisal Cantonment, Karachi, Karachi City, Sindh",Rangoli Restaurant,Yes,Yes,4.1,021-99245287,Karsaz Road,"Buffet,
hi-tea",Dessert,4000,8000,12000,16000,20000,Lunch,Karachi,Family
